objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,z_spec
1237648720685170803,160.11941,-0.61814091,19.0879,17.81063,17.14961,16.77751,16.49885,0.08692535
1237648720685236365,160.27391,-0.6045291,20.90684,18.66691,17.631,17.18583,16.82931,0.1375531
1237654669740146832,160.36629,-0.31303629,20.477,18.6849,17.76579,17.28186,16.93447,0.1351049
1237654669740081298,160.18716,-0.32688012,19.79093,18.2317,17.36981,16.95152,16.61115,0.1335751
1237654669740015748,160.17037,-0.31782159,19.64499,17.67162,16.58495,16.12319,15.75836,0.1341061
1237648720685236371,160.28364,-0.44832835,19.4196,17.92325,17.1186,16.71127,16.38885,0.1117112
1237654669203275865,160.37121,-0.63334416,19.9424,17.4331,16.33485,15.89654,15.53003,0.1359963
1237654669740081360,160.26023,-0.31197643,20.25256,18.18614,17.11031,16.67241,16.29578,0.134694
1237648721222041753,160.12253,-0.04782824,20.0141,18.24038,17.18632,16.69917,16.30884,0.1329678
1237654669740146848,160.38057,-0.24835156,20.31128,18.26427,17.35262,16.93889,16.62026,0.09506261
1237654669740081353,160.25686,-0.37563064,19.35468,18.46749,18.21162,17.96921,17.95778,0.09528587
1237654669740015726,160.15053,-0.22097105,19.56782,17.54043,16.54919,16.12804,15.81686,0.1327785
1237648721222041743,160.12259,-0.16518533,19.48938,17.86274,17.0532,16.65428,16.3448,0.1147309
1237648721222041869,160.11796,-0.20321326,24.05116,20.69571,18.99695,18.31464,17.95175,0.4118299
1237648720685105338,160.02161,-0.61435179,19.76246,17.93324,17.01763,16.6311,16.32336,0.09598241
1237654669739884797,159.83971,-0.41207641,19.81388,17.92205,17.0123,16.63992,16.34993,0.1138531
1237648720685105353,160.03518,-0.60001098,19.11231,18.11328,17.63761,17.33353,17.18017,0.07470067
1237648720685039769,159.84751,-0.53426204,19.1629,17.75191,16.9918,16.57696,16.28015,0.1141676
1237654669739884626,159.85161,-0.38928754,15.60277,14.84851,14.53991,14.53548,14.39993,0.01855623
1237648720685039784,159.8868,-0.5719742,20.75625,19.07333,17.9939,17.59678,17.40523,0.226657
1237654669203079276,159.8893,-0.64443766,19.03172,17.65859,16.99388,16.63349,16.36399,0.0963623
1237648720685105308,159.99464,-0.50537821,20.009,18.16898,17.19118,16.79004,16.44153,0.1105957
1237654669739950159,159.89377,-0.25304655,16.80913,15.85494,15.50616,15.36143,15.23748,0.01881749
1237648721221910889,159.85536,-0.084798816,19.76133,18.19968,17.6124,17.33048,17.11845,0.01864479
1237648720685105391,159.97331,-0.58890325,23.22284,20.61921,18.85443,18.21815,17.8896,0.3856396
1237648721221976278,160.06589,-0.20472198,20.24032,18.3356,17.44022,17.07653,16.72877,0.1139066
1237648721222041731,160.08433,-0.16292267,19.39615,17.75233,16.94372,16.4668,16.15508,0.08177026
1237654669740015774,160.09753,-0.22980483,20.1817,18.44281,17.54835,17.07101,16.76294,0.1131507
1237648721222041741,160.11471,-0.020507752,20.26574,18.48279,17.52412,17.00393,16.66543,0.1403162
